3.194038888388972541e-01,7.629593742689353419e-01
5.743292145098291002e-01,8.798981049843590529e-01
7.310236309563585833e-01,7.329998764152272361e-01
8.403534169072556237e-01,2.647316139967670345e-01
6.501140597987643543e-01,6.815263520602100611e-01
4.104371366251856612e-01,1.475542990299818502e-01
3.126911567947775472e-01,7.872277794971882514e-02
6.834181688515067465e-01,8.610574643936100836e-01
8.250725182080587139e-02,4.034875064263240274e-01
8.838898288181170626e-01,5.822539743824438618e-01
0.000000000000000000e+00,1.000000000000000000e+00
9.911360000000000170e-01,9.997160000000000490e-01
9.881389999999999896e-01,3.200999999999999852e-03
3.113980000000000081e-01,6.508200000000000096e-02
6.641049999999999454e-01,8.617909999999999737e-01
7.611280000000000268e-01,7.278869999999999507e-01
4.311719999999999997e-01,4.608559999999999879e-01
2.135999999999999878e-03,3.421199999999999936e-02
6.804289999999999505e-01,8.474999999999999895e-03
6.813599999999999657e-01,4.448409999999999864e-01
5.007799999999999752e-02,6.873850000000000238e-01
6.127810000000000201e-01,2.429479999999999973e-01
2.385960000000000025e-01,5.480730000000000324e-01
