1.715252068810620978e-01,3.439168702758372831e-01,2.487372010692386892e-01
2.421144606124933096e-01,6.440742697791076443e-01,2.724328091994552281e-01
5.349057202251034093e-01,3.985009153676316584e-01,1.733887289456772507e-01
4.925814146371343405e-01,6.115931882759960692e-01,3.401763860035726950e-01
1.346216663206111219e-01,2.199172404897455912e-01,4.582062196492270312e-01
3.455232705197697207e-01,9.413598305723256399e-01,2.693634790694063863e-01
1.518366323741680013e-01,4.399906189664437584e-01,9.908818665589510521e-01
6.455028351793181685e-01,3.971429395797703155e-01,9.197713377032198379e-01
7.469119451655177322e-01,2.841963092257342449e-01,2.262998548875254645e-01
1.704769939696806347e-01,6.970324006861340349e-01,1.491694337083002697e-01
2.205493370831765887e-01,2.978252442230862052e-01,3.435553444167258608e-01
6.660136587669346353e-01,6.719851513369297091e-01,2.462952966705312940e-01
4.680894972249738384e-02,2.313602407834673969e-01,7.706175921643000359e-01
6.000972824185007992e-01,7.251357252228826100e-01,6.608864149534865451e-02
9.659948489488087153e-01,8.611196897300882336e-01,5.668291312870884502e-01
4.000000000000000222e-01,4.000000000000000222e-01,5.000000000000000000e-01
3.820790000000000020e-01,8.214299999999999380e-02,4.150860000000000105e-01
6.862190000000000234e-01,9.652950000000000141e-01,8.061000000000000457e-03
9.907890000000000308e-01,8.672870000000000301e-01,9.202690000000000037e-01
5.544310000000000072e-01,7.037400000000000322e-01,6.279660000000000242e-01
9.577000000000000443e-03,1.784499999999999975e-02,5.805569999999999897e-01
9.920080000000000009e-01,9.335869999999999447e-01,4.785449999999999982e-01
9.013480000000000381e-01,9.917240000000000499e-01,7.222889999999999588e-01
2.298489999999999978e-01,2.826139999999999763e-01,9.795399999999999940e-02
7.226949999999999763e-01,8.343220000000000081e-01,5.244569999999999510e-01
6.766980000000000217e-01,6.984679999999999778e-01,3.813819999999999988e-01
9.926599999999999868e-01,6.322210000000000329e-01,3.613259999999999805e-01
