6.657995800131588648e-01,1.239691276753490667e-01
8.777909889953303679e-01,7.786275008473289017e-01
1.426990742359460773e-01,3.490051305732001508e-01
8.452754286767248937e-01,7.111202665952655044e-01
4.546471410512441524e-01,2.904551797740608787e-01
5.777128444074783875e-01,7.719731841154062746e-01
4.381660616117106777e-01,6.850182567997548100e-01
3.417495930288503292e-01,2.869771982227786733e-02
3.386481568870176595e-01,2.138672456386436771e-01
7.026365569244406029e-01,9.265641975455574109e-01
8.181819999999999649e-01,9.797979999999999468e-01
7.000439999999999996e-01,9.240380000000000260e-01
5.871349999999999625e-01,9.991440000000000321e-01
6.993620000000000392e-01,9.696489999999999831e-01
7.029769999999999630e-01,1.741429999999999922e-01
7.475500000000000478e-01,1.323930000000000107e-01
6.911810000000000453e-01,3.090400000000000091e-02
7.048170000000000268e-01,7.277000000000000135e-02
6.863000000000000211e-01,8.694370000000000154e-01
6.788340000000000485e-01,9.946190000000000309e-01
6.879729999999999457e-01,8.168189999999999618e-01
6.893399999999999528e-01,6.623639999999999528e-01
6.891530000000000156e-01,6.417410000000000059e-01
